id,type,avg_length,upper_bound,lower_bound,is_rare
0,Aland,25,38,19,1
1,Schleie,25,38,19,0
2,Rotauge,20,30,15,0
3,Rotfeder,20,30,15,0
4,Ukelei,12,18,9,1
5,Brasse,30,45,23,0
6,Graskarpfen,45,68,34,0
7,Karpfen,35,53,26,0
8,Giebel,20,30,15,0
11,Rapfen,50,75,38,1
12,Zander,45,68,34,1
13,Hecht,50,75,38,1
14,Zwergwels,15,23,11,0
15,Wels,50,75,38,0
16,Aal,45,68,34,1
17,Kaulbarsch,13,20,10,0
9,Guester,25,38,19,0
10,Flussbarsch,25,38,19,0
